Detector, Descriptor, Lidar TTC, Camera TTC, Error
ORB, FREAK, 8.95978, 40.8841, 3.56307
ORB, FREAK, 9.96439, 6.57691, 0.339958
ORB, FREAK, 9.59863, 519.592, 53.1319
ORB, FREAK, 8.57352, 8.60003, 0.00309206
ORB, FREAK, 9.51617, 9.3402, 0.0184918
ORB, FREAK, 9.54658, 11.3219, 0.185966
ORB, FREAK, 8.3988, 16.8655, 1.00808
AKAZE,BRISK
AKAZE, BRISK, 12.5156, 11.9055, 0.0487461
AKAZE, BRISK, 12.6142, 15.6249, 0.238672
AKAZE, BRISK, 14.091, 13.4644, 0.044472
AKAZE, BRISK, 16.6894, 14.4196, 0.136003
AKAZE, BRISK, 15.9082, 14.7461, 0.0730547
AKAZE, BRISK, 12.6787, 14.8422, 0.170639
AKAZE, BRISK, 11.9844, 16.2002, 0.351783
AKAZE, BRISK, 13.1241, 14.0457, 0.0702181
AKAZE, BRISK, 13.0241, 13.901, 0.0673294
AKAZE, BRISK, 11.1746, 11.878, 0.062942
AKAZE, BRISK, 12.8086, 12.5054, 0.0236726
AKAZE, BRISK, 8.95978, 10.3737, 0.15781
AKAZE, BRISK, 9.96439, 10.1489, 0.0185147
AKAZE, BRISK, 9.59863, 10.0385, 0.0458298
AKAZE, BRISK, 8.57352, 10.0348, 0.170446
AKAZE, BRISK, 9.51617, 10.3834, 0.0911328
AKAZE, BRISK, 9.54658, 9.63699, 0.00946983
AKAZE, BRISK, 8.3988, 8.95287, 0.0659701
AKAZE,BRIEF
AKAZE, BRIEF, 12.5156, 13.2804, 0.0611081
AKAZE, BRIEF, 12.6142, 15.381, 0.219334
AKAZE, BRIEF, 14.091, 13.6728, 0.0296777
AKAZE, BRIEF, 16.6894, 13.9793, 0.162385
AKAZE, BRIEF, 15.9082, 15.1106, 0.0501385
AKAZE, BRIEF, 12.6787, 14.1636, 0.117116
AKAZE, BRIEF, 11.9844, 15.9355, 0.329691
AKAZE, BRIEF, 13.1241, 14.2614, 0.0866525
AKAZE, BRIEF, 13.0241, 13.5101, 0.0373173
AKAZE, BRIEF, 11.1746, 11.6681, 0.0441612
AKAZE, BRIEF, 12.8086, 12.3559, 0.0353451
AKAZE, BRIEF, 8.95978, 11.7147, 0.307471
AKAZE, BRIEF, 9.96439, 10.1193, 0.015547
AKAZE, BRIEF, 9.59863, 9.85941, 0.027169
AKAZE, BRIEF, 8.57352, 9.48744, 0.106597
AKAZE, BRIEF, 9.51617, 9.69983, 0.0193002
AKAZE, BRIEF, 9.54658, 9.54581, 8.10149e-05
AKAZE, BRIEF, 8.3988, 9.12903, 0.0869439
AKAZE,ORB
AKAZE, ORB, 12.5156, 12.5102, 0.000430864
AKAZE, ORB, 12.6142, 14.7715, 0.17102
AKAZE, ORB, 14.091, 13.3159, 0.0550092
AKAZE, ORB, 16.6894, 14.1507, 0.152111
AKAZE, ORB, 15.9082, 15.578, 0.0207595
AKAZE, ORB, 12.6787, 13.6147, 0.0738198
AKAZE, ORB, 11.9844, 15.6235, 0.303658
AKAZE, ORB, 13.1241, 14.1891, 0.0811439
AKAZE, ORB, 13.0241, 13.619, 0.0456787
AKAZE, ORB, 11.1746, 11.7537, 0.0518158
AKAZE, ORB, 12.8086, 12.4121, 0.0309575
AKAZE, ORB, 8.95978, 11.5441, 0.288436
AKAZE, ORB, 9.96439, 9.98864, 0.002434
AKAZE, ORB, 9.59863, 10.417, 0.085262
AKAZE, ORB, 8.57352, 10.5321, 0.228445
AKAZE, ORB, 9.51617, 9.73697, 0.0232026
AKAZE, ORB, 9.54658, 8.97257, 0.0601271
AKAZE, ORB, 8.3988, 9.12749, 0.0867607
AKAZE,FREAK
AKAZE, FREAK, 12.5156, 12.1239, 0.0313006
AKAZE, FREAK, 12.6142, 14.0613, 0.114713
AKAZE, FREAK, 14.091, 13.9602, 0.00928202
AKAZE, FREAK, 16.6894, 14.2765, 0.144575
AKAZE, FREAK, 15.9082, 16.1433, 0.014775
AKAZE, FREAK, 12.6787, 14.5198, 0.145211
AKAZE, FREAK, 11.9844, 15.4456, 0.288813
AKAZE, FREAK, 13.1241, 13.771, 0.049289
AKAZE, FREAK, 13.0241, 13.1062, 0.00630212
AKAZE, FREAK, 11.1746, 12.0412, 0.077551
AKAZE, FREAK, 12.8086, 12.2112, 0.0466395
AKAZE, FREAK, 8.95978, 10.9924, 0.226856
AKAZE, FREAK, 9.96439, 10.9714, 0.10106
AKAZE, FREAK, 9.59863, 10, 0.0418195
AKAZE, FREAK, 8.57352, 9.86979, 0.151194
AKAZE, FREAK, 9.51617, 10.3531, 0.0879464
AKAZE, FREAK, 9.54658, 9.10004, 0.0467746
AKAZE, FREAK, 8.3988, 8.70288, 0.0362053
AKAZE,AKAZE
AKAZE, AKAZE, 12.5156, 12.3444, 0.0136796
AKAZE, AKAZE, 12.6142, 14.2067, 0.126243
AKAZE, AKAZE, 14.091, 12.9582, 0.0803941
AKAZE, AKAZE, 16.6894, 14.6429, 0.122623
AKAZE, AKAZE, 15.9082, 16.7468, 0.0527101
AKAZE, AKAZE, 12.6787, 13.9555, 0.100701
AKAZE, AKAZE, 11.9844, 15.2583, 0.273182
AKAZE, AKAZE, 13.1241, 14.2557, 0.0862225
AKAZE, AKAZE, 13.0241, 13.8398, 0.0626263
AKAZE, AKAZE, 11.1746, 11.5483, 0.0334368
AKAZE, AKAZE, 12.8086, 12.1341, 0.0526604
AKAZE, AKAZE, 8.95978, 11.0555, 0.233904
AKAZE, AKAZE, 9.96439, 11.2852, 0.132555
AKAZE, AKAZE, 9.59863, 10.5845, 0.102709
AKAZE, AKAZE, 8.57352, 10.2172, 0.191715
AKAZE, AKAZE, 9.51617, 9.8136, 0.0312552
AKAZE, AKAZE, 9.54658, 9.06452, 0.0504952
AKAZE, AKAZE, 8.3988, 8.99147, 0.0705661
SIFT,BRISK
SIFT, BRISK, 12.5156, 11.9442, 0.0456551
SIFT, BRISK, 12.6142, 13.3443, 0.0578771
SIFT, BRISK, 14.091, 13.9818, 0.00775399
SIFT, BRISK, 16.6894, 19.2699, 0.154619
SIFT, BRISK, 15.9082, 15.27, 0.040118
SIFT, BRISK, 12.6787, 11.5722, 0.0872747
SIFT, BRISK, 11.9844, 14.3801, 0.199911
SIFT, BRISK, 13.1241, 15.5638, 0.185893
SIFT, BRISK, 13.0241, 13.0591, 0.00268656
SIFT, BRISK, 11.1746, 10.8593, 0.0282182
SIFT, BRISK, 12.8086, 13.2349, 0.0332824
SIFT, BRISK, 8.95978, 10.2972, 0.149275
SIFT, BRISK, 9.96439, 10, 0.00357415
SIFT, BRISK, 9.59863, 9.71098, 0.0117051
SIFT, BRISK, 8.57352, 9.43476, 0.100453
SIFT, BRISK, 9.51617, 8.76721, 0.078704
SIFT, BRISK, 9.54658, 9.52697, 0.00205457
SIFT, BRISK, 8.3988, 9.3265, 0.110455
SIFT,BRIEF
SIFT, BRIEF, 12.5156, 12.0887, 0.0341092
SIFT, BRIEF, 12.6142, 14.0371, 0.112795
SIFT, BRIEF, 14.091, 15.08, 0.0701852
SIFT, BRIEF, 16.6894, 21.4358, 0.284398
SIFT, BRIEF, 15.9082, 13.6333, 0.143003
SIFT, BRIEF, 12.6787, 12.5584, 0.00948912
SIFT, BRIEF, 11.9844, 14.5792, 0.216519
SIFT, BRIEF, 13.1241, 15.2578, 0.162579
SIFT, BRIEF, 13.0241, 13.0446, 0.00157408
SIFT, BRIEF, 11.1746, 10.3097, 0.0773985
SIFT, BRIEF, 12.8086, 13.0488, 0.0187559
SIFT, BRIEF, 8.95978, 9.87054, 0.101649
SIFT, BRIEF, 9.96439, 10.1282, 0.0164406
SIFT, BRIEF, 9.59863, 9.26825, 0.0344199
SIFT, BRIEF, 8.57352, 9.99612, 0.165929
SIFT, BRIEF, 9.51617, 8.93133, 0.061457
SIFT, BRIEF, 9.54658, 8.94616, 0.0628938
SIFT, BRIEF, 8.3988, 9.23255, 0.09927
SIFT,FREAK
SIFT, FREAK, 12.5156, 11.3143, 0.0959868
SIFT, FREAK, 12.6142, 13.8299, 0.0963683
SIFT, FREAK, 14.091, 13.5177, 0.0406843
SIFT, FREAK, 16.6894, 21.8725, 0.310562
SIFT, FREAK, 15.9082, 13.5634, 0.147398
SIFT, FREAK, 12.6787, 12.2423, 0.0344211
